,,Price per SQM,,420,,,,,,Stickers per,,,,,,,,,
,,,,,,,,,,row,, unit price , with VAT ,,met sny,,,,
, Per unit ,Width,Height,Quantity,sqm,Price,,met sny,,,,,,,,,,,
,,Total sqm,0.30655,,,,,,,,,,,,,,,,
,,,,Sub Total,, R 297.35 ,,,,,,,,,,,,,
,,,,VAT,, R 44.60 ,,,,,,,,,,,,,
,,,,Total,, R 341.96 ,,,,,,,,,,,,,
,,,,,,,,,,,, R 668.16 ,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Posters,,,,,,,,,,,,,,,,,,,
,,Price per SQM,,320,,,,,,Stickers per,,,,,,,,,
,,,,,,,,,,row,, unit price ,,,,,,,
, Per unit ,Width,Height,Quantity,sqm,Price,,,,,,,,,,,,,
, R 6.05 ,210,90,1,0.0189, R 6.05 ,,,,4.17,4.00, R 6.34 ,,,,,,,
, R 39.92 ,420,297,1,0.12474, R 39.92 ,,,,2.09,2.00, R 41.82 ,,,,,,,
, R -   ,,,1,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
, R -   ,,,1,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
, R -   ,,,1,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
, R -   ,,,1,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
, R -   ,,,1,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,#DIV/0!,,,,0, R -   ,,,,880.00,,#DIV/0!,,,,,,,
,,Total sqm,0.14364,,,,,,,,,,,,,,,,
,,,,Sub Total,, R 45.96 ,,,,,,,,,,,,,
,,,,VAT,, R 6.89 ,,,,,,,,,,,,,
,,,,Total,, R 52.86 ,,,,,,,,,,,,,
,,,,,,,,,,,, R 668.16 ,,,,,,,
